Théâtres,1866-02-18,1866-02-19,1866-02-20,1866-02-21,1866-02-22,1866-02-23,1866-02-24, 18 - 24  fév.
Opéra,4394.96,10157.62,,7702.01,,6289.14,,28543.73
Théâtre Français,3572,6058.5,5764,6026.5,1057.5,6000.5,5878.5,34357.5
Opéra-Comique,4876.5,4002.5,4511.5,4494,4624,5197,5010,32715.5
Théâtre des Italiens,,2747,5671,,14329,,13652,36399
Odéon,2356,1058,873,665.5,818.75,338.5,1042.25,7152
Théâtre-Lyrique,5504.6,3836.1,4168.1,3876.1,3549.6,3984.6,,24919.1
Vaudeville,,,,,,,,
Théâtre des Variétés,4364.5,4127.5,4071,4074,4086.5,4149,4090,28962.5
Gymnase,4103.75,3398.5,3253.25,3302.25,3400.75,3422.25,3364.5,24245.25
Palais-Royal,4004.25,2644.25,2653,2415.75,2320.75,2339,2536.75,18913.75
Porte Saint-Martin,3480,2977.25,3106.75,2765,2833.75,2267,2794,20223.75
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,36656.56,41007.22,34071.6,35321.11,37020.6,33986.99,38368,256432.08
