An 1867 - Janvier,,,,,,,
Teatri,Settimane,,,,,,Totale Mese
Opéra,16290.6,20726.85,25593.49,24187.36,14383.94,,101182.24
Théâtre Français,15367,20394.5,22808.99,19112.5,14362,,92044.99
Opéra-Comique,25950,22732.5,24749,25974.5,17248.75,,116654.75
Théâtre des Italiens,17226,18998,28587,20871,27083,,112765
Odéon,6784,8121.25,7819.25,7387.5,5878.25,,35990.25
Théâtre-Lyrique,22557.1,26566.1,19123.99,13384.5,12307.5,,93939.19
Vaudeville,,,,,,,
Théâtre des Variétés,,,,,,,
Gymnase,14533.74,19910,18792.25,17142.24,5202.5,,75580.73
Palais-Royal,,,,,,,
Porte Saint-Martin,,,,,,,
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,118708.44,137449.2,147473.97,128059.6,96465.94,,628157.15
