An 1867- Février,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,7970.9,20016.67,22711.66,14578.92,16713.24,,81991.39
Théâtre Français,5986,18828.5,26768.5,25931.5,17166.5,,94681
Opéra-Comique,6422,25603,22508,25225,20136,,99894
Théâtre des Italiens,8946,10520,27830,34223,19567,,101086
Odéon,1719.5,8860.25,10014.25,9539.5,7717.5,,37851
Théâtre-Lyrique,3450.5,15805.5,25421.5,24953,20701,,90331.5
Vaudeville,,,,,,,
Théâtre des Variétés,,,,,,,
Gymnase,3757.5,14344.5,13948.5,17087.25,10010.75,,59148.5
Palais-Royal,,,,,,,
Porte Saint-Martin,,,,,,,
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,38252.4,113978.42,149202.41,151538.17,112011.99,,564983.39
