Anno 1867 - Aprile,,,,,,,
Teatri,Settimane,,,,,,Totale Mese
Opéra,28638.33,26067.86,16694.13,41137.41,,,112537.73
Théâtre Français,19520.5,19882,,31371,11421.5,,82195
Opéra-Comique,16836,19948,11455.5,37438.5,15198,,100876
Théâtre des Italiens,29519,37206,24306,44981,7810,,143822
Odéon,5856.75,7105.5,5206.75,12170,2079.75,,32418.75
Théâtre-Lyrique,11375,18411,6819,18548.5,7253.5,,62407
Vaudeville,,,,,,,
Théâtre des Variétés,,,,,,,
Gymnase,28037.4,28895.25,22277,11567.75,6701.75,,97479.15
Palais-Royal,,,,,,,
Porte Saint-Martin,,,,,,,
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,139782.98,157515.61,86758.38,197214.16,50464.5,,631735.63
