An 1867 - Août,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,,9609.27,,44834.34,38406.86,,92850.47
Théâtre Français,,18616,,24109,22132,,64857
Opéra-Comique,,12606,,25382.25,21801.75,,59790
Théâtre des Italiens,,,,,,,
Odéon,,3709.75,,6347.5,5235.75,,15293
Théâtre-Lyrique,,4466.5,,27181.5,25275.5,,56923.5
Vaudeville,,,,,,,
Théâtre des Variétés,,,,,,,
Gymnase,,1375.5,,6784.75,6599,,14759.25
Palais-Royal,,,,,,,
Porte Saint-Martin,,,,,,,
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,,50383.02,,134639.34,119450.86,,304473.22
