An 1867,,,,,,,,,,,,,
Théâtres,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total an
Opéra,101182.24,81991.39,140823.5,112537.73,185971.87,194340.79,,92850.47,187702.12,201532.92,61939.23,,1360872.26
Théâtre Français,92044.99,94681,120392.99,82195,120942.6,116984.5,,64857,130134,156914.5,54312,,1033458.58
Opéra-Comique,116654.75,99894,127530.25,100876,137682.45,144921.5,,59790,141481.5,185036.2,56904.25,,1170770.9
Théâtre des Italiens,112765,101086,128240,143822,3675,9733,,,143726,188783,43540,,875370
Odéon,35990.25,37851,28315.25,32418.75,33474.45,30170.95,,15293,58084.75,91963.25,30877.25,,394438.9
Théâtre-Lyrique,93939.19,90331.5,105697.5,62407,157331,139632,,56923.5,132959.5,158005.5,53105.5,,1050332.19
Vaudeville,,,,,,,,,,,,,0
Théâtre des Variétés,,,,,,,,,,,,,0
Gymnase,75580.73,59148.5,88005.6,97479.15,76802,51248.35,,14759.25,41122.21,55227.75,25626.75,,585000.29
Palais-Royal,,,,,,,,,,,,,0
Porte Saint-Martin,,,,,,,,,,,,,0
Gaîté,,,,,,,,,,,,,0
Ambigu-Comique,,,,,,,,,,,,,0
Théâtre Impérial du Cirque,,,,,,,,,,,,,0
Folies-Dramatiques,,,,,,,,,,,,,0
Délassement Comiques,,,,,,,,,,,,,0
Luxembourg,,,,,,,,,,,,,0
Beaumarchais,,,,,,,,,,,,,0
Total,628157.15,564983.39,739005.09,631735.63,715879.37,687031.09,0,304473.22,835210.08,1037463.12,326304.98,0,6470243.12
