Théâtres,,,1867-01-01,1867-01-02,1867-01-03,1867-01-04,1867-01-05,1 - 5 jan.
Opéra,,,,7813.72,,8476.88,,16290.6
Théâtre Français,,,3651,4131.5,1692.5,1948.5,3943.5,15367
Opéra-Comique,,,6565.5,6232,4751,2524,5877.5,25950
Théâtre des Italiens,,,6084,,7175,,3967,17226
Odéon,,,2314.25,1931.75,1410,213.75,914.25,6784
Théâtre-Lyrique,,,6555,5852.5,2279.1,5616,2254.5,22557.1
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,,,3284.99,3674,2884.25,2183.75,2506.75,14533.74
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,,,28454.74,29635.47,20191.85,20962.88,19463.5,118708.44
