Théâtres,1867-03-10,1867-03-11,1867-03-12,1867-03-13,1867-03-14,1867-03-15,1867-03-16,10 - 16 mar
Opéra,,7810.75,,10400.47,,10785.75,,28996.97
Théâtre Français,804,4378.5,4468.5,4420,4291.5,1801,4706,24869.5
Opéra-Comique,6191,2631,4195,2391,4124,2780,4268,26580
Théâtre des Italiens,,,11689,,3716,,10393,25798
Odéon,1896.5,881.5,413.5,560.75,578.5,471.75,583.25,5385.75
Théâtre-Lyrique,4539,2421,2078,2089,4929.5,2614.5,,18671
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,2356.5,1743,1471.35,1235.75,1462.25,1417.75,,9686.6
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,15787,19865.75,24315.35,21096.97,19101.75,19870.75,19950.25,139987.82
