Théâtres,1867-03-31,1867-04-01,1867-04-02,1867-04-03,1867-04-04,1867-04-05,1867-04-06,31 - mar.,1 - 6 avr.
Opéra,,9529.75,,9639.84,,9468.74,,,28638.33
Théâtre Français,4427,4128.5,2642.5,4000.5,2295,3909,2545,4427,19520.5
Opéra-Comique,5572.5,1718.5,3751,2226.5,3089.5,1827.5,4223,5572.5,16836
Théâtre des Italiens,,,9717,,13275,,6527,,29519
Odéon,1074.5,4793,335.75,347,227.75,153.25,,1074.5,5856.75
Théâtre-Lyrique,3932,1598.5,1394,,4551.5,2194,1637,3932,11375
Vaudeville,,,,,,,,,
Théâtre des Variétés,,,,,,,,,
Gymnase,4628.75,4802.75,4400.75,4667,4837.4,4744,4585.5,4628.75,28037.4
Palais-Royal,,,,,,,,,
Porte Saint-Martin,,,,,,,,,
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,19634.75,26571,22241,20880.84,28276.15,22296.49,19517.5,19634.75,139782.98
