Théâtres,1867-04-28,1867-04-29,1867-04-30,1867-05-01,1867-05-02,1867-05-03,1867-05-04,28 - 30  avr.,1 - 4 mai
Opéra,,,,9682.96,,10465.5,7073.56,,27222.02
Théâtre Français,5290,1688,4443.5,2399.5,3817.5,3637,3150.5,11421.5,13004.5
Opéra-Comique,7121,2753.5,5323.5,2296,4351,3465.75,4099.5,15198,14212.25
Théâtre des Italiens,,,7810,,,,,7810,
Odéon,,1129,950.75,920.75,1056.5,608.5,808,2079.75,3393.75
Théâtre-Lyrique,,3016,4237.5,3616,7232,2796,7409,7253.5,21053
Vaudeville,,,,,,,,,
Théâtre des Variétés,,,,,,,,,
Gymnase,3101,,3600.75,3779.75,3763,3603.5,3165.5,6701.75,14311.75
Palais-Royal,,,,,,,,,
Porte Saint-Martin,,,,,,,,,
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,15512,8586.5,26366,22694.96,20220,24576.25,25706.06,50464.5,93197.27
