Théâtres,1867-05-12,1867-05-13,1867-05-14,1867-05-15,1867-05-16,1867-05-17,1867-05-18,12 - 18 mai
Opéra,,9993.98,,11757.75,,11266.6,10805.92,43824.25
Théâtre Français,3093,3855.5,4571.1,4298.5,4937,4549.5,4416.5,29721.1
Opéra-Comique,3724.25,4421.5,6815.2,5520.5,4670,5435.75,2732,33319.2
Théâtre des Italiens,,,,,,,,0
Odéon,1143.25,374,427,783.25,656.75,2944.75,1346.5,7675.5
Théâtre-Lyrique,2863,5255,,5744,7918.5,6176,7718.5,35675
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,2387.25,2821.75,3089,3060.25,3687.5,3374.75,2214.75,20635.25
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,13210.75,26721.73,14902.3,31164.25,21869.75,33747.35,29234.17,170850.3
