Théâtres,1867-05-26,1867-05-27,1867-05-28,1867-05-29,1867-05-30,1867-05-31,1867-06-01,26 - 31  mai,1 juin
Opéra,,11754.57,,12001,,10674.79,11606.89,34430.36,11606.89
Théâtre Français,5310.5,5410,4656.5,4056,3484.5,3285,3928,26202.5,3928
Opéra-Comique,6146,5900,4188.5,2239,3265.5,5454.75,2995.25,27193.75,2995.25
Théâtre des Italiens,,,,1492,,646,,2138,
Odéon,2021.25,2063.5,1467.25,1095.5,941.5,1095.95,1079.5,8684.95,1079.5
Théâtre-Lyrique,3749,6526,7717.5,3120,7646.5,,1668,28759,1668
Vaudeville,,,,,,,,,
Théâtre des Variétés,,,,,,,,,
Gymnase,1505.5,2706.5,2658.25,1649.75,1370,2134.5,1711.5,12024.5,1711.5
Palais-Royal,,,,,,,,,
Porte Saint-Martin,,,,,,,,,
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,18732.25,34360.57,20688,25653.25,16708,23290.99,22989.14,139433.06,22989.14
