Théâtres,1867-06-09,1867-06-10,1867-06-11,1867-06-12,1867-06-13,1867-06-14,1867-06-15,9 - 15 juin
Opéra,,11594.6,,10697.52,,11971.63,10144.16,44407.91
Théâtre Français,4585.5,3405,3345.5,2786.5,4803,4754.5,4425.5,28105.5
Opéra-Comique,4419.5,5711,6666.5,4071.5,6758.5,6412,5993.5,40032.5
Théâtre des Italiens,,,420,1125,,2416,,3961
Odéon,1509,"1,778,50",600.75,911,1262.75,1110.25,975.25,6369
Théâtre-Lyrique,3016,3241,7789,7936,1840,1519.5,7674.5,33016
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,1078.5,1638.35,1261,1163,2151.25,1771.75,1789.5,10853.35
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,14608.5,25589.95,20082.75,28690.52,16815.5,29955.63,31002.41,166745.26
