Théâtres,1867-09-22,1867-09-23,1867-09-24,1867-09-25,1867-09-26,1867-09-27,1867-09-28,22 - 28 sept..
Opéra,,11765.76,,12191.2,,10593.81,12190.86,46741.63
Théâtre Français,4927.5,3829,6350,4259,6372,4561.5,5946.5,36245.5
Opéra-Comique,6043,5703.5,6726.5,6453.5,6370.5,5535,5290.25,42122.25
Théâtre des Italiens,,,16230,,9592,,10759,36581
Odéon,4449,3751,3771.75,4030.25,3405.75,1158.25,3661,24227
Théâtre-Lyrique,4741,4957,2897.5,6404.5,3447.5,5821.5,3931.5,32200.5
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,2766.5,1910,,1902.5,2075.25,1938.5,1453.25,12046
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,22927,31916.26,35975.75,35240.95,31263,29608.56,43232.36,230163.88
