Théâtres,1867-01-27,1867-01-28,1867-01-29,1867-01-30,1867-01-31,1867-02-01,1867-02-02,27-31 jan.,1 - 2 fév.
Opéra,,7801.61,,6582.33,,7970.9,,14383.94,7970.9
Théâtre Français,3589,1731,2676,3061.5,3304.5,2771,3215,14362,5986
Opéra-Comique,4606.5,1762.25,4556,2023.5,4300.5,1793.5,4628.5,17248.75,6422
Théâtre des Italiens,7417,,8710,,10956,,8946,27083,8946
Odéon,1906.25,1037.5,1025.5,999.75,909.25,344.5,1375,5878.25,1719.5
Théâtre-Lyrique,3666,,4008,1019.5,3614,1028.5,2422,12307.5,3450.5
Vaudeville,,,,,,,,,
Théâtre des Variétés,,,,,,,,,
Gymnase,3054,2148.5,,,,2244.75,1512.75,5202.5,3757.5
Palais-Royal,,,,,,,,,
Porte Saint-Martin,,,,,,,,,
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,24238.75,14480.86,20975.5,13686.58,23084.25,16153.15,22099.25,96465.94,38252.4
