Théâtres,1867-02-10,1867-02-11,1867-02-12,1867-02-13,1867-02-14,1867-02-15,1867-02-16,10 al 16 fév.
Opéra,,7160.52,,7147.74,,8403.4,,22711.66
Théâtre Français,4748.5,3502.5,3630.5,3850,3161,4375.5,3500.5,26768.5
Opéra-Comique,6018,2442,3855,1482.5,4661.5,1613.5,2435.5,22508
Théâtre des Italiens,1652,,10052,,4005,,12121,27830
Odéon,2280,1085,1161,1168.75,876.75,1151.25,2291.5,10014.25
Théâtre-Lyrique,4659,2832.5,3004,3675,2803.5,4547,3900.5,25421.5
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,3322.5,1711.5,1602,1570.25,1980,1760.5,2001.75,13948.5
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,22680,18734.02,23304.5,18894.24,17487.75,21851.15,26250.75,149202.41
