Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Stendhal; Le Rouge et le Noir; Parte seconda, I; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; maison; Julien, Pirard; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, II; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; maison; Julien, Pirard, marchese de La Mole; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, II; Père-Lachaise; 16 Rue du Repos; 20; 48.86065, 2.39485; cimetière; Julien; exact; vécu; droite; réel
Stendhal; Le Rouge et le Noir; Parte seconda, II; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; maison; Julien, Pirard, marchese de La Mole, Arsène, marchesa de La Mole, conte Norbert, Mathilde; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir Nero; Parte seconda, III; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; maison; Julien, Mathilde; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, III; Bois de Boulogne; Bois de Boulogne; 16; 48.864093, 2.248258; jardin publique; Julien, Norbert; inexacte; vécu; droite; réel
Stendhal; Le Rouge et le Noir; Parte seconda, III; Rue du Bac; Rue du Bac; 7; 48.853776, 2.323799; rue; Julien, Norbert; inexacte; vécu; gauche; réel
Stendhal; Le Rouge et le Noir; Parte seconda, III; Place de la Concorde; Place de la Concorde; 8; 48.86545, 2.321134; place; Julien, Norbert; inexacte; vécu; droite; réel
Stendhal; Le Rouge et le Noir; Parte seconda, IV; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; maison; Julien, marchese de La Mole, Pirard, Mathilde, marchese de Croisenois, conte de Caylus, visconte de Luz, Descoulis, conte Chalvet, signor de Thaler; inexacte; vécu; gauche; fictif
Stendhal; Le Rouge et le Noir; Parte seconda, V; Palazzo de La Mole; faubourg Saint Germain; 7; 48.856257, 2.32331; maison; Julien; inexacte; vécu; gauche; fictif
