Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Balzac; Illusions perdues; Le primizie di Parigi; Gaillard-Bois; 6 rue d’Echelle; 1; 48.863972, 2.33451; hôtel; Lucien, signora de Bargeton; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Direttore generale delle Imposte; rue Faubourg-Saint-Honoré; 8; 48.872493, 2.310002; maison; Barone du Châtelet; inexacte; cité; droite; fictif
Balzac; Illusions perdues; Le primizie di Parigi; chez madame de Bargeton; rue Cambon; 1; 48.86608, 2.325068; maison; Lucien, signora de Bargeton; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Le primizie di Parigi; Herbault; 8 rue Saint-Augustin; 2; 48.868922, 2.337439; boutique; signora de Bargeton, Barone du Châtelet; exact; cité; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; rue de la Paix; rue de la Paix; 2; 48.869507, 2.331453; rue; Lucien; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Rocher de Cancale; 59 rue Montorgueil; 2; 48.865606, 2.346925; restaurant; Lucien, signora de Bargeton, Barone du Châtelet; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Vaudeville; 6 Boulevard des Capucines; 9; 48.870976, 2.333254; théâtre; Lucien, signora de Bargeton, Barone du Châtelet; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; chez madame de Bargeton; rue Cambon; 1; 48.86608, 2.325068; maison; signora de Bargeton, Barone du Châtelet; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Le primizie di Parigi; chez marchesa d’Espard; Faubourg-Saint-Honoré; 8; 48.870733, 2.303072; maison; signora de Bargeton, marchesa d’Espard; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Le primizie di Parigi; Tuileries; Place de la Concorde; 1; 48.864858, 2.323106; jardin publique; Lucien; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Very; 83 galerie de Beaujolais; 1; 48.866033, 2.338018; restaurant; Lucien; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Gaillard-Bois; 6 rue d’Echelle; 1; 48.863972, 2.33451; hôtel; Lucien; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; negozi Palais Royal; Rue de Montpensier; 1; 48.864639, 2.335815; boutique; Lucien; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Opéra; 12 Rue Le Peletier; 9; 48.872755, 2.338658; théâtre; Lucien, signora de Bargeton, marchesa d’Espard; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; chez marchesa d’Espard; Faubourg-Saint-Honoré; 8; 48.870733, 2.303072; maison; signora de Bargeton, marchesa d’Espard; inexacte; vécu; droite; fictif
Balzac; Illusions perdues; Le primizie di Parigi; Staub; 92 Rue de Richelieu; 2; 48.870346, 2.339351; boutique; Lucien; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Verdier; 95 rue de Richelieu; 2; 48.87115, 2.339569; boutique; Lucien; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Mme Irlande; 28 Galerie Montpensier; 1; 48.86501, 2.337143; boutique; Lucien; exact; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; ristorante Palais-Royal; Rue de Montpensier; 1; 48.864639, 2.335815; restaurant; Lucien; inexacte; vécu; droite; réel
Balzac; Illusions perdues; Le primizie di Parigi; Piazza Luigi XV; Place de la Concorde; 8; 48.86545, 2.321134; place; Lucien; inexacte; vécu; droite; réel
