Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Opéra; 12 Rue Le Peletier; 9; 48.872755, 2.338658; théâtre; Lucien, barone du Châtelet, marchesa d’Espard, Rastignac, Collin, des Lupeaulx, Blondet, Finot, Vernou, Bixiou, Esther, Lousteau; exact; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Frascati; 108 rue de Richelieu; 2; 48.871369, 2.34033; maison de jeux; Lucien; exact; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Lointier; 104 rue de Richelieu; 2; 48.869255, 2.338731; restaurant; Lucien, barone du Châtelet, marchesa d’Espard, Rastignac, Collin, des Lupeaulx, Blondet, Finot, Vernou, Bixiou; exact; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Esther; rue de Langlade (oggi avenue de l’Opéra); 1; 48.864446, 2.335001; maison; Esther, Collin; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Ternaux; 4, rue des Fossés-Montmartre (oggi rue d’Aboukir); 2; 48.866069, 2.342185; boutique; Esther, Collin; exact; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Porte Saint-Martin; Porte Saint-Martin; 10; 48.869146, 2.355652; place; Lucien, Esther; inexacte; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Théâtre de la Porte-Saint-Martin; 18 Boulevard Saint-Martin; 10; 48.86907, 2.356987; théâtre; Esther, Collin; exact; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; rue des Frondeurs (oggi rue de l’Échelle); rue des Frondeurs; 1; 48.863522, 2.334008; rue; Esther; inexacte; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Rocher de Cancale; 59 rue Montorgueil; 2; 48.865606, 2.346925; restaurant; Esther, Collin; exact; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Opéra; 12 Rue Le Peletier; 9; 48.872755, 2.338658; théâtre; Esther, Collin; exact; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Herrera (Collin); rue Cassette; 6; 48.848291, 2.331036; maison; Collin; inexacte; cité; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Herrera (Collin) e Lucien; rue Cassette; 6; 48.848291, 2.331036; maison; Collin, Lucien; inexacte; vécu; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Esther; rue Taitbout; 9; 48.872495, 2.33585; maison; Esther; inexacte; cité; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Esther; rue Taitbout; 9; 48.872495, 2.33585; maison; Esther, Lucien, Collin, Asia, Europa; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Lucien; quai Malaquais; 6; 48.85791, 2.334756; maison; Lucien, Collin; inexacte; vécu; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Bois de Boulogne; Bois de Boulogne; 16; 48.864093, 2.248258; jardin publique; Lucien; inexacte; cité; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Bois de Vincennes; Bois de Vincennes; 12; 48.824291, 2.420532; jardin publique; Esther, Nuncigen; inexacte; vécu; droite; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Nuncigen; rue Saint-Lazare; 9; 48.876858, 2.333116; maison; Delphine de Nuncigen, Nuncigen, Desplein, Keller, Rastignac, de Marsay, du Tillet, conte de Gondreville, cavalier d’Espard, des Lupeaulx, Bianchon, Beaudenord, conte e contessa de Montcornet, Blondet, signorina des Touches, signorina Conti; inexacte; vécu; droite; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; chez Lucien; quai Malaquais; 6; 48.85791, 2.334756; maison; Lucien, Collin; inexacte; vécu; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Palazzo Grandlieu; rue Saint-Dominique; 7; 48.859959, 2.311689; maison; Lucien, duchessa de Grandlieu, duchessa de Chaulieu, Clotilde, Joséphine, visdomino de Pamiers, duca di Grandlieu, marchese d’Ajuda-Pinto, duca de Maufrigneuse, marchesa d’Espard; inexacte; vécu; gauche; fictif
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Église Saint-Thomas-d’Aquin; place Saint-Thomas-d’Aquin; 7; 48.856258, 2.327462; église; Lucien; inexacte; cité; gauche; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; place rue de la Planche; rue de la Planche; 7; 48.853149, 2.325378; place; Lucien; inexacte; vécu; gauche; réel
Balzac; Splendeurs et Misères des Courtisanes; Parte prima; Place de la Madeleine; Place de la Madeleine; 8; 48.869766, 2.325076; place; Lucien; inexacte; vécu; droite; réel
