Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Flaubert; L’Éducation sentimentale; Prima parte, I; quai Saint-Bernard; quai Saint-Bernard; 5; 48.848442, 2.358618; rue; Frédéric; inexacte; vécu; gauche; réel
Flaubert; L’Éducation sentimentale; Prima parte, III; stazione diligenza; rue Coq-Héron; 1; 48.864304, 2.342279; place; Frédéric; inexacte; vécu; droite; réel
Flaubert; L’Éducation sentimentale; Prima parte, III; chez Dambreuse; rue d’Anjou; 8; 48.87068, 2.321353; maison; Frédéric, signor Dambreuse; inexacte; vécu; droite; fictif
Flaubert; L’Éducation sentimentale; Prima parte, III; Art industriel; boulevard Montmartre; 9; 48.871576, 2.342537; maison d’édition; Frédéric; inexacte; vécu; droite; fictif
Flaubert; L’Éducation sentimentale; Prima parte, III; chez Frédéric; rue Saint-Hyacinthe; 1; 48.866001, 2.331705; maison; Frédéric; inexacte; vécu; droite; fictif
Flaubert; L’Éducation sentimentale; Prima parte, III; museo del Louvre; rue de Rivoli; 1; 48.861085, 2.335727; musée; Frédéric; inexacte; vécu; droite; réel
Flaubert; L’Éducation sentimentale; Prima parte, III; pensione rue Saint-Jacques; rue Saint-Jacques; 5; 48.844582, 2.34216; pension; Frédéric, Martinon; inexacte; vécu; gauche; réel
Flaubert; L’Éducation sentimentale; Prima parte, III; Sainte-Chapelle; 10 Boulevard du Palais; 1; 48.85516, 2.345747; église; Frédéric, de Cisy; exact; vécu; gauche; réel
Flaubert; L’Éducation sentimentale; Prima parte, III; Notre-Dame; 6 Parvis Notre-Dame; 4; 48.852937, 2.35005; église; Frédéric, de Cisy; exact; vécu; gauche; réel
Flaubert; L’Éducation sentimentale; Prima parte, III; Art industriel; boulevard Montmartre; 9; 48.871576, 2.342537; maison d’édition; Frédéric, Arnoux; inexacte; vécu; droite; fictif
Flaubert; L’Éducation sentimentale; Prima parte, III; Tuileries; Tuileries; 1; 48.864445, 2.323573; jardin publique; Frédéric; inexacte; vécu; droite; réel
Flaubert; L’Éducation sentimentale; Prima parte, III; Ristorante in rue de la Harpe; rue de la Harpe; 5; 48.851955, 2.344169; restaurant; Frédéric; inexacte; vécu; gauche; réel
Flaubert; L’Éducation sentimentale; Prima parte, III; chez Frédéric; rue Saint-Hyacinthe; 1; 48.866001, 2.331705; maison; Frédéric; inexacte; vécu; droite; fictif
Flaubert; L’Éducation sentimentale; Prima parte, III; Opéra; 12 Rue Le Peletier; 9; 48.872755, 2.338658; théâtre; Frédéric; exact; vécu; droite; réel
Flaubert; L’Éducation sentimentale; Prima parte, III; Collège de France; 11 place Marcelin-Berthelot; 5; 48.848923, 2.345436; bâtiment; Frédéric; exact; vécu; gauche; réel
Flaubert; L’Éducation sentimentale; Prima parte, III; Théâtre du Palais-Royal; 38, rue de Montpensier; 1; 48.866139, 2.337633; théâtre; Frédéric, Arnoux; exact; vécu; droite; réel
Flaubert; L’Éducation sentimentale; Prima parte, III; Art industriel; boulevard Montmartre; 9; 48.871576, 2.342537; maison d’édition; Frédéric; inexacte; vécu; droite; fictif
Flaubert; L’Éducation sentimentale; Prima parte, III; chez Frédéric; Quai aux Fleures; 4; 48.854057, 2.351726; maison; Frédéric; inexacte; vécu; gauche; fictif
Flaubert; L’Éducation sentimentale; Prima parte, IV; rue Saint-Jacques; rue Saint-Jacques; 5; 48.850695, 2.345464; rue; Frédéric; inexacte; vécu; gauche; réel
Flaubert; L’Éducation sentimentale; Prima parte, IV; stazione di polizia; rue Descartes; 5; 48.845654, 2.349158; bureau; Frédéric, Martinon, Dussardier, Hussonnet; inexacte; vécu; gauche; réel
Flaubert; L’Éducation sentimentale; Prima parte, IV; Café Tabourey; 20 Rue de Vaugirard; 6; 48.849268, 2.338201; café; Frédéric, Hussonnet; exact; vécu; gauche; réel
Flaubert; L’Éducation sentimentale; Prima parte, IV; rue de Fleurus; rue de Fleurus; 6; 48.847075, 2.33076; rue; Frédéric, Hussonnet; inexacte; vécu; gauche; réel
Flaubert; L’Éducation sentimentale; Prima parte, IV; chez Frédéric; Quai aux Fleures; 4; 48.854057, 2.351726; maison; Frédéric, Husonnet; inexacte; vécu; gauche; fictif
Flaubert; L’Éducation sentimentale; Prima parte, IV; Art industriel; boulevard Montmartre; 9; 48.871576, 2.342537; maison d’édition; Frédéric, Hussonnet, Arnoux, Regimbart, Pellerin, Dittmer, signorina Vatnaz; inexacte; vécu; droite; fictif
Flaubert; L’Éducation sentimentale; Prima parte, IV; chez Pellerin; faubourg Poissonnière; 9; 48.878826, 2.349222; maison; Frédéric, Pellerin; inexacte; vécu; droite; fictif
Flaubert; L’Éducation sentimentale; Prima parte, IV; Art industriel; boulevard Montmartre; 9; 48.871576, 2.342537; maison d’édition; Frédéric, Regimbart; inexacte; vécu; droite; fictif
Flaubert; L’Éducation sentimentale; Prima parte, IV; Café Bordelais; place du Carroussel; 1; 48.861629, 2.334033; café; Frédéric, Regimbart; inexacte; cité; droite; réel
Flaubert; L’Éducation sentimentale; Prima parte, IV; Art industriel; boulevard Montmartre; 9; 48.871576, 2.342537; caison d’édition; Frédéric, Hussonnet, Arnoux, Madame Arnoux, Regimbart; inexacte; vécu; droite; fictif
Flaubert; L’Éducation sentimentale; Prima parte, IV; Café Bordelais; place du Carroussel; 1; 48.861629, 2.334033; café; Frédéric, Regimbart, Pellerin; inexacte; vécu; droite; réel
Flaubert; L’Éducation sentimentale; Prima parte, IV; Art industriel; boulevard Montmartre; 9; 48.871576, 2.342537; maison d’édition; Frédéric, Arnoux; inexacte; vécu; droite; fictif
Flaubert; L’Éducation sentimentale; Prima parte, IV; chez Frédéric; Quai aux Fleures; 4; 48.854057, 2.351726; maison; Frédéric, Arnoux, Deslauriers; inexacte; vécu; gauche; fictif
Flaubert; L’Éducation sentimentale; Prima parte, IV; chez Arnoux; 24 bis rue de Choiseul; 2; 48.869919, 2.33593; maison; Frédéric, Arnoux, Marthe, madame Arnoux, Dittmer, Lovarias, Burrieu, Rosenwald, Lorris, Meinsius, Pellerin, Hussonnet; exact; vécu; droite; fictif
Flaubert; L’Éducation sentimentale; Prima parte, IV; Pont-Neuf; Ponte-Neuf; 1; 48.857805, 2.341906; pont; Frédéric; inexacte; vécu; droite; réel
Flaubert; L’Éducation sentimentale; Prima parte, IV; chez Frédéric; Quai aux Fleures; 4; 48.854057, 2.351726; maison; Frédéric, Deslauriers; inexacte; vécu; gauche; fictif
Flaubert; L’Éducation sentimentale; Prima parte, V; chez Frédéric; Quai aux Fleures; 4; 48.854057, 2.351726; maison; Frédéric, Pellerin, Deslauriers, Sénécal; inexacte; vécu; gauche; fictif
Flaubert; L’Éducation sentimentale; Prima parte, V; Art industriel; boulevard Montmartre; 9; 48.871576, 2.342537; maison d’édition; Frédéric, Arnoux; inexacte; vécu; droite; fictif
Flaubert; L’Éducation sentimentale; Prima parte, V; chez Arnoux; 24 bis rue de Choiseul; 2; 48.869919, 2.33593; maison; Frédéric, Arnoux, madame Arnoux, Dittmer; exact; vécu; droite; fictif
Flaubert; L’Éducation sentimentale; Prima parte, V; chez Frédéric; Quai aux Fleures; 4; 48.854057, 2.351726; maison; Frédéric, Deslauriers; inexacte; vécu; gauche; fictif
