Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Maupassant; Bel-Ami; Parte prima, I; rue Notre-Dame de Lorette; rue Notre-Dame de Lorette; 9; 48.877899, 2.338059; rue; Duroy; inexacte; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, I; la Madeleine; place de la Madeleine; 8; 48.870231, 2.325247; rue; Duroy; inexacte; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, I; Café Américain; 4 Boulevard des Capucines; 9; 48.871038, 2.333624; café; Duroy; exact; cité; droite; réel
Maupassant; Bel-Ami; Parte prima, I; Théâtre du Vaudeville; 27 bis Rue Vivienne; 2; 48.869068, 2.34003; théâtre; Duroy; exact; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, I; Café Américain; 4 Boulevard des Capucines; 9; 48.871038, 2.333624; café; Duroy; exact; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, I; place dell’Opéra; place dell’Opéra; 9; 48.871034, 2.3324; place; Duroy; inexacte; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, I; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy, Forestier, Jacques Rival, Norbert de Varenne; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, I; Café Napolitain; 1 Boulevard des Capucines; 2; 48.870763, 2.333908; café; Duroy, Forestier; exact; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, I; chez Forestier; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Forestier; exact; cité; droite; fictif
Maupassant; Bel-Ami; Parte prima, I; la Madeleine; place de la Madeleine; 8; 48.870231, 2.325247; rue; Duroy, Forestier; inexacte; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, I; Théâtre Folies-Bergère; 32 Rue Richer; 9; 48.874081, 2.344897; théâtre; Duroy, Forestier; exact; cité; droite; réel
Maupassant; Bel-Ami; Parte prima, I; Théâtre Folies-Bergère; 32 Rue Richer; 9; 48.874081, 2.344897; théâtre; Duroy, Forestier; exact; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, I; Opéra; 8 rue Scribe; 9; 48.872029, 2.331785; théâtre; Duroy, Forestier; exact; cité; droite; réel
Maupassant; Bel-Ami; Parte prima, I; Théâtre des Italiens (salle Ventadour); 1 Rue Dalayrac; 2; 48.867603, 2.334862; théâtre; Duroy, Forestier; exact; cité; droite; réel
Maupassant; Bel-Ami; Parte prima, I; Café Américain; 4 Boulevard des Capucines; 9; 48.871038, 2.333624; café; Duroy, Forestier; exact; cité; droite; réel
Maupassant; Bel-Ami; Parte prima, II; chez Forestier; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Madeleine Forestier, Clotilde de Marelle, signor Walter, signora Walter, Jacques Rival, Norbert de Varenne, Forestier; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, III; chez Duroy; rue Boursault; 17; 48.885079, 2.318906; maison; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, III; Parc Monceau; Parc Monceau; 8; 48.879372, 2.30887; jardin publique; Duroy; inexacte; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, III; chez Forestier; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Forestier, Madeleine Forestier; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, III; Duval; 21 rue de la Monnaie; 1; 48.859612, 2.343041; restaurant; Duroy; exact; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, III; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy, Forestier, signor Walter, Norbert de Varenne, Jacques Rival; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, IV; gare Saint-Lazare; 13 Rue d’Amsterdam; 9; 48.877075, 2.326334; gare; Duroy; exact; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, IV; Arc de Triomphe; Arc de Triomphe; 8; 48.873062, 2.297745; rue; Duroy; inexacte; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, IV; chez Forestier; 17 rue Pierre Fontaine; 9; 48.881468, 2.334175; maison; Duroy, Forestier, Madeleien Forestier; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, IV; chez Duroy; rue Boursault; 17; 48.885079, 2.318906; maison; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, IV; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy, Saint-Potin; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, IV; Théâtre Folies-Bergère; 32 Rue Richer; 9; 48.874081, 2.344897; théâtre; Duroy, Rachel; exact; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, IV; Opéra; 8 rue Scribe; 9; 48.872029, 2.331785; théâtre; Duroy, Rachel; exact; cité; droite; réel
Maupassant; Bel-Ami; Parte prima, IV; chez Duroy; rue Boursault; 17; 48.885079, 2.318906; maison; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, IV; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy, signor Walter, Forestier; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, V; chez Clotilde de Marelle; rue de Verneuil; 5; 48.857955, 2.329253; maison; Duroy, Clotilde de Marelle; inexacte; vécu; gauche; fictif
Maupassant; Bel-Ami; Parte prima, V; chez Clotilde de Marelle; rue de Verneuil; 5; 48.857955, 2.329253; maison; Duroy, Laurine, Clotilde de Marelle; inexacte; vécu; gauche; fictif
Maupassant; Bel-Ami; Parte prima, V; Café Riche; 16 Boulevard des Italiens; 9; 48.871752, 2.337676; café; Duroy, Clotilde de Marelle; exact; cité; droite; réel
Maupassant; Bel-Ami; Parte prima, V; Café Riche; 16 Boulevard des Italiens; 9; 48.871752, 2.337676; café; Duroy, Clotilde de Marelle, Forestier, Madeleine Forestier; exact; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, V; chez Clotilde de Marelle; rue de Verneuil; 5; 48.857955, 2.329253; maison; Duroy, Clotilde de Marelle, Laurine; inexacte; vécu; gauche; fictif
Maupassant; Bel-Ami; Parte prima, V; La Vie Française; Boulevard Poissonière; 2; 48.870917, 2.347113; rédaction; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, V; chez Duroy; rue Boursault; 17; 48.885079, 2.318906; maison; Duroy; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, V; chez Duroy; rue Boursault; 17; 48.885079, 2.318906; maison; Duroy, Clotilde de Marelle; inexacte; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, V; chez Clotilde (rue de Constantinople); 127 rue de Constantinople; 8; 48.880374, 2.319194; maison; Duroy, Clotilde de Marelle; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, V; Théâtre Folies-Bergère; 32 Rue Richer; 9; 48.874081, 2.344897; théâtre; Duroy, Rachel; exact; vécu; droite; réel
Maupassant; Bel-Ami; Parte prima, V; chez Clotilde (rue de Constantinople); 127 rue de Constantinople; 8; 48.880374, 2.319194; maison; Duroy, Clotilde de Marelle; exact; vécu; droite; fictif
Maupassant; Bel-Ami; Parte prima, V; Lathuile; 7 avenue de Clichy; 17; 48.884299, 2.326832; restaurant; Duroy, Clotilde de Marelle; exact; cité; droite; réel
Maupassant; Bel-Ami; Parte prima, V; Café Anglais;13 Boulevard des Italiens; 2; 48.871363, 2.337518; café; Duroy, Clotilde de Marelle; exact; cité; droite; réel
