Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Balzac; Père Goriot; I, una pensione borghese; pension Vauquer; rue Neuve-Sainte-Geneviève (oggi rue Tournefort); 5; 48.841933, 2.348254; pension; madame Vauquer, signora de l’Ambermesnil; inexacte; vécu; gauche; fictif
Balzac; Père Goriot; I, una pensione borghese; Galerie de Bois; Galerie d’Orléans; 1; 48.864101, 2.33732; rue; madame Vauquer, signora de l’Ambermesnil; inexacte; vécu; droite; réel
Balzac; Père Goriot; I, una pensione borghese; Petite Jeannette; 3, boulevard des Italiens; 2; 48.871803, 2.339019; boutique; madame Vauquer, signora de l’Ambermesnil; exact; vécu; droite; réel
Balzac; Père Goriot; I, una pensione borghese; Boeuf à la mode; 8 rue Valois; 1; 48.864304, 2.338377; restaurant; madame Vauquer, signora de l’Ambermesnil; exact; cité; droite; réel
Balzac; Père Goriot; I, una pensione borghese; pension Vauquer; rue Neuve-Sainte-Geneviève (oggi rue Tournefort); 5; 48.841933, 2.348254; pension; madame Vauquer, Vautrin; inexacte; vécu; gauche; fictif
Balzac; Père Goriot; I, una pensione borghese; pension Vauquer; rue Neuve-Sainte-Geneviève (oggi rue Tournefort); 5; 48.841933, 2.348254; pension; madame Vauquer, Sylvie, Goriot; inexacte; vécu; gauche; fictif
Balzac; Père Goriot; I, una pensione borghese; pension Vauquer; rue Neuve-Sainte-Geneviève (oggi rue Tournefort); 5; 48.841933, 2.348254; pension; madame Vauquer, Goriot; inexacte; vécu; gauche; fictif
Balzac; Père Goriot; I, una pensione borghese; Opéra Comique; Place Boieldieu;2; 48.870817, 2.337444; théâtre; Rastignac; inexacte; cité; droite; réel
Balzac; Père Goriot; I, una pensione borghese; palazzo Beauséant; rue de Grenelle; 7; 48.855556, 2.323637; maison; Rastignac, madame de Beauséant, madame de Restaud; inexacte; vécu; gauche; fictif
Balzac; Père Goriot; I, una pensione borghese; bal du Prado; Quai de la Corse; 4; 48.856146, 2.346626; bal; Rastignac; inexacte; cité; gauche; réel
Balzac; Père Goriot; I, una pensione borghese; Odéon; Place de l'Odéon;6; 48.849991, 2.338648; théâtre; Rastignac; exact; cité; gauche; réel
Balzac; Père Goriot; I, una pensione borghese; pension Vauquer; rue Neuve-Sainte-Geneviève (oggi rue Tournefort); 5; 48.841933, 2.348254; pension; Rastignac, Christophe; inexacte; vécu; gauche; fictif
Balzac; Père Goriot; I, una pensione borghese; Bois de Boulogne; Bois de Boulogne; 16; 48.874066, 2.254352; jardin publique; Rastignac, madame de Restaud; inexacte; cité; droite; réel
