Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Zola; La curée; I; Bois de Boulogne; Bois de Boulogne; 16; 48.864093, 2.248258; jardin publique; Renée, Maxime, Laure d’Aurigny; inexacte; vécu; droite; réel
Zola; La curée; I; chez Rénee; Boulevard Malesherbes; 8; 48.880511, 2.312936; maison; Renée, Maxime; inexacte; vécu; droite; fictif
Zola; La curée; II; chez Aristide; rue Saint-Jacques; 5; 48.851399, 2.345857; maison; Aristide, Angèle; inexacte; vécu; gauche; fictif
Zola; La curée; II; chez Eugène Rougon; rue de Penthièvre; 8; 48.872689, 2.315145; maison; Eugène, Aristide; inexacte; vécu; droite; fictif
Zola; La curée; II; Hôtel de Ville; Place de l’Hôtel de Ville; 4; 48.856821, 2.352301; Hôtel de Ville; Aristide; exact; vécu; droite; réel
Zola; La curée; II; chez Sidonie Rougon; Faubourg Poissonnière; 10; 48.870917, 2.347113; maison; Aristide, Sidonie; inexacte; vécu; droite; fictif
Zola; La curée; II; chez Aristide; rue Saint-Jacques; 5; 48.851399, 2.345857; maison; Aristide, Angèle; inexacte; vécu; gauche; fictif
Zola; La curée; II; chez Béraud du Châtel; Île Saint-Louis; 4; 48.852084, 2.356917; maison; Béraud, Sidonie; inexacte; vécu; gauche; fictif
Zola; La curée; II; chez Sidonie Rougon; Faubourg Poissonnière; 10; 48.870917, 2.347113; maison; Aristide, Sidonie, Mademe Aubertot; inexacte; vécu; droite; fictif
Zola; La curée; II; chez Aristide; rue Saint-Jacques; 5; 48.851399, 2.345857; maison; Aristide, Madame Aubertot; inexacte; vécu; gauche; fictif
Zola; La curée; II; Église Saint-Louis-en-l’Île; Rue Saint-Louis en l’Île; 4; 48.851278, 2.357577; église; Aristide, Renée; exact; vécu; gauche; réel
Zola; La curée; II; chez Béraud du Châtel; Île Saint-Louis; 4; 48.852084, 2.356917; maison; Béraud, Aristide, Renée; inexacte; vécu; gauche; fictif
Zola; La curée; II; chez Aristide; rue Rivoli; 8; 48.864423, 2.330309; maison; Aristide, Renée; inexacte; vécu; droite; fictif
Zola; La curée; II; chez Béraud du Châtel; Île Saint-Louis; 4; 48.852084, 2.356917; maison; Béraud, Aristide, Renée; inexacte; vécu; gauche; fictif
Zola; La curée; III; chez Aristide; rue Rivoli; 8; 48.864423, 2.330309; maison; Renée, Maxime; inexacte; vécu; droite; fictif
Zola; La curée; III; Worms; 7 rue de la Paix; 2; 48.868927, 2.330888; boutique; Renée, Maxime; exact; cité; droite; réel
Zola; La curée; III; Lycée Bonaparte; 8 rue du Havre; 9; 48.874813, 2.326775; lycée; Maxime; exact; vécu; droite; réel
Zola; La curée; III; Bois de Boulogne; Bois de Boulogne; 16; 48.864093, 2.248258; jardin publique; Renée, Maxime; inexacte; vécu; droite; réel
Zola; La curée; III; Worms; 7 rue de la Paix; 2; 48.868927, 2.330888; boutique; Renée, Maxime; exact; vécu; droite; réel
Zola; La curée; III; chez Aristide; rue Rivoli; 8; 48.864423, 2.330309; maison; Renée, Maxime, Aristide; inexacte; vécu; droite; fictif
Zola; La curée; III; chez Sidonie Rougon; Faubourg Poissonnière; 10; 48.870917, 2.347113; maison; Sidonie, Renée, Georges; inexacte; vécu; droite; fictif
