Auteur; Titre; Chapitre; Lieu; Adresse; Arrondissement; Géoréférencement ; Qualification ; Personnages ; Indication ; Typologie ; Rive ; Attribut
Zola; Nanà; I; teatro del Varietà; 7 Boulevard Montmartre; 2; 48.871478, 2.342152; théâtre; Nanà, Fauchery, Lafaloise, Bordenave, Rosa Mignon, Simona, Clarissa, Steiner, Lucia Stewart, Carolina Héquet, Daguenet, Bianca Sivry, conte Saverio Vandeuvres, Gagà, Labordette, Prullière, Bosc, i Muffat, marchese Chouard, Satin, signora Robert; exact; vécu; droite; réel
Zola; Nanà; I; Café Madrid; 6 Boulevard Montmartre; 2; 48.871732, 2.342575; café; avventori; exact; cité; droite; réel
Zola; Nanà; I; Galerie Jouffroy; 10 Boulevard Montmartre; 2; 48.871812, 2.342084; rue; avventori; exact; cité; droite; réel
Zola; Nanà; I; Café des Variétés; 9 Boulevard Montmartre; 2; 48.871475, 2.342032; café; Mignon, Steiner; exact; vécu; droite; réel
Zola; Nanà; I; Galleria dei Panorami; 11 Boulevard Montmartre; 2; 48.871502, 2.341882; rue; Daguenet; exact; vécu; droite; réel
Zola; Nanà; II; chez Nanà; Boulevard Haussmann; 8; 48.873977, 2.324223; maison; Nanà, Zoe, Lerat, Franco, Trincon, signora Maloir; inexacte; vécu; droite; fictif
Zola; Nanà; II; Boissier; 7 Boulevard des Capucines; 9; 48.870644, 2.333214; confiserie; Nanà; exact; cité; droite; réel
Zola; Nanà; III; chez conte Muffat; rue Miromesnil; 8; 48.873117, 2.315896; maison; Leonilde Chazelle, Venot, Foucarmont, Giorgio, signora Hugon, Carolina Héquet, Lafaoloise, Fauchery, Vandeuvres, i Mignon, conte Muffat, Estella Muffat, la signora Joucquoy; inexacte; vécu; droite; fictif
Zola; Nanà; III; Boissier; 7 Boulevard des Capucines; 9; 48.870644, 2.333214; confiserie; Leonilde Chazelle, Venot, Foucarmont, Giorgio, signora Hugon, Carolina Héquet, Lafaoloise, Fauchery, Vandeuvres, i Mignon, conte Muffat, Estella Muffat, la signora Joucquoy; exact; cité; droite; réel
Zola; Nanà; III; Latinville; 10 rue de Grammont; 2; 48.86947, 2.336782; crémiers; Leonilde Chazelle, Venot, Foucarmont, Giorgio, signora Hugon, Carolina Héquet, Lafaoloise, Fauchery, Vandeuvres, i Mignon, conte Muffat, Estella Muffat, la signora Joucquoy; exact; cité; droite; réel
Zola; Nanà; IV; chez Nanà; Boulevard Haussmann; 8; 48.873977, 2.324223; maison; Nanà, Zoe, Daguenet, Giorgio, Clarissa Besnus, Lafaloise, Steiner, i Mignon, conte Vandeuvres, Bianca Sivry, Fauchery, Lucia Stewart, Labordette, Gagà, Lea de Horn, Tatan Néné, Maria Blond, Bordenave, Carolina Héquet, Luisa Violaine, Foucarmont; inexacte; vécu; droite; fictif
Zola; Nanà; IV; Brébant; 32 boulevard Poissonnière; 2; 48.871575, 2.343548; restaurant; Nanà; exact; cité; droite; réel
Zola; Nanà; IV; Folie Dramatique; 40 rue René-Boulanger; 10; 48.868425, 2.360907; théâtre; Maria Blond; exact; cité; droite; réel
Zola; Nanà; IV; Peters; Passage Mirès oggi Passage des Princes; 2; 48.871588, 2.339282; restaurant; Nanà; exact; cité; droite; réel
Zola; Nanà; IV; Bois de Boulogne; Bois de Boulogne; 16; 48.864093, 2.248258; jardin publique; Nanà, Bianca Sivry, Steiner; inexacte; vécu; droite; réel
Zola; Nanà; V; Variétés; 7 Boulevard Montmartre; 2; 48.871478, 2.342152; théâtre; Nanà, Muffat, Simona, Prullière, Bosc, Fontan, signora Bron, Clarissa, Mignon, Fauchery, Bordenave, Lafaloise, Principe inglese, marchese Chouard, Satin, Giulia, Barillot, signora Tricon, Rosa Mignon; exact; vécu; droite; réel
Zola; Nanà; VII; Galleria dei Panorami; 11 Boulevard Montmartre; 2; 48.871502, 2.341882; rue; Muffat; exact; vécu; droite; réel
Zola; Nanà; VII; Galerie Feydeau; Galerie Feydeau; 2; 48.870626, 2.34134; rue; Muffat; inexacte; vécu; droite; réel
