Place;Address;Arrondissement;Frequency; Coordinates; Type of place
Café Anglais;13 Boulevard des Italiens;2;5;48.871363, 2.337518; Coffee
Café Choiseul;Passage Choiseul;2;1;48.868083, 2.335567; Coffee
Café des Gondoles;Rue Boulois;1;2;48.863538, 2.340676; Coffee
Café des Variétées;9 Boulevard Montmartre;2;4;48.871432, 2.342019; Coffee
Café du Mail;Rue du Mail;2;3;48.867196, 2.343535; Coffee
Café Véron;11 Boulevard Montmartre;2;1;48.871511, 2.341904; Coffee
Champeaux;13 Place de la Bourse;2;1;48.868711, 2.340558; Restaurant
Opéra-Comique;Place Boieldieu;2;3;48.870817, 2.337444; Theater
Théâtre des Bouffes-Parisien;4 Rue Monsigny;2;7;48.86839, 2.335403; Theater
Théâtre des Italiens;salle Ventadour 1 Rue Dalayrac;2;5;48.867603, 2.334862; Theater
Théâtre des Variètès;7 Boulevard Montmartre;2;3;48.871403, 2.342088; Theater
Théâtre du Vaudeville;27 bis Rue Vivienne;2;10;48.869068, 2.34003; Theater
Bains Chinois ;29 Boulevard des Italiens ;2;1;48.870928, 2.335123; Thermal Baths
