Place; Address; Arrondissement; Coordinates;
Salon Princesse Mathilde;24 rue de Courcelles;8;48.874497, 2.310166;
Home Goncourt;43 rue Saint-Georges; 9;48.877531, 2.337234;
Salon Imperatrice Eugénie; Palais des Tuileries; 1;48.862041, 2.331783;
Académie de France;23 quai de Conti; 6;48.857451, 2.33777;
“Salon des Refusés”; Rond-point des Champs-Élysées; 8;48.869243, 2.309178;
Théâtre des Bouffes-Parisien; 4 Rue Monsigny; 2;48.86839, 2.335403;
Théâtre-Français; 1 Place Colette; 1;48.865221, 2.335364;
Théâtre du Vaudeville; 27 bis Rue Vivienne; 2;48.869068, 2.34003;
Théâtre du Palais-Royal; 8 Rue de Montpensier; 1;48.863757, 2.337126;
Café Momus; 19 rue des Prêtres-Saint-Germain-l'Auxerrois; 1;48.859226, 2.340996;
Diner Magny; 3 Rue André Mazet; 6;48.854125, 2.339124;
Censure;Palais des Tuileries;1;48.862041, 2.331783;
Société des auteurs et compositeurs dramatiques; 11 rue Ballu; 9;48.881692, 2.330703;
