Place;Address;Arrondissement;Frequency; Coordinates
Bancelin;27 Boulevard du Temple;3;1; 48.865027, 2.365197
Baratte;8 Rue Berger;1;1; 48.862128, 2.347429
Beuf à La Mode;8 Rue de Valois;1;1; 48.863611, 2.338116
Bignon;2 Rue de la Chaussée d'Antin;9;4; 48.871207, 2.334206
Bonvalet;29 Boulevard du Temple;11;1; 48.865423, 2.365229
Bouillons Duval;15 Rue Coquillière;1;2; 48.863778, 2.342502
Brasserie des Martyrs;17 Rue des Martyrs;9;2; 48.877927, 2.339354
Brébant;32 Boulevard Poissonnière;9;1; 48.87161, 2.343498
Broggi;19 Rue Le Peletier;9;3; 48.872851, 2.338386
Champeaux;13 Place de la Bourse;2;1; 48.868711, 2.340558
Dinochau;Angle Rue Breda (Rue Monnier) et Rue Navarin;9;5; 48.880019, 2.33734
Grosse-Tête;30 Rue Daunou (ex Rue Neuve-Saint-Augustin);9;6; 48.870021, 2.330473
La Taverne Anglaise;5 Rue de la Chaussée d'Antin;9;3; 48.872013, 2.333508
La Terrasse;10 Boulevard Montmartre;9;1; 48.871824, 2.34216
Les Frères Provençaux;17 Rue de Beaujolais;1;1; 48.86613, 2.337986
Magny;3 Rue André Mazet;6;61; 48.854125, 2.339124
Maire;14 Boulevard Saint-Denis;10;5; 48.869631, 2.354082
Maison d'or;20 Boulevard des Italiens;9;8; 48.871878, 2.336879
Moulin-Rouge;82 Boulevard de Clichy;18;4; 48.88413, 2.332464
Père Lathuile;7 Avenue de Clichy;17;2; 48.884329, 2.326845
Pied-de-Mouton;6 Rue Coquillière;1;3; 48.863494, 2.343724
Poissonnerie Anglaise;1 Rue de Rivoli;4;2; 48.85558, 2.359164
Vachette;32 Boulevard Poissonnière;9;2; 48.87161, 2.343498
Véfour;17 Rue de Beaujolais;1;5; 48.86613, 2.337986
Voisin;261 Rue Saint Honoré;1;2; 48.867295, 2.326237
