Place;Address;Arrondissement;Frequency; Coordinates; 
Café Alcazar;10 Rue du Faubourg-Poissonnière;10;1;48.871476, 2.348108; 
Café Anglais;13 Boulevard des Italiens;2;5;48.871363, 2.337518;
Café Choiseul;Passage Choiseul;2;1;48.868083, 2.335567;
Café de la Comèdie;157 Rue Saint Honoré;1;1;48.863017, 2.335803;
Café de Mulhouse;Passage Jouffroy;9;1;48.872584,2.34222;
Café de Rochefoucauld;57 Rue Notre Dame de Lorette;9;1;48.880196, 2.335126;
Café de Paris;24 Boulevard des Italiens;9;1;48.871539,2.336282;
Café des Aveugles;103 Rue de Beaujolais;1;1;48.866343, 2.337583;
Café des Gondoles;Rue Boulois;1;2;48.863538, 2.340676;
Café des Mille-Colonnes;36 Galerie de Montpensier;1;1;48.865165, 2.337205;
Café des Variétées;9 Boulevard Montmartre;2;4;48.871432, 2.342019;
Café d'Orsay;52 Rue Mazarine;6;2;48.854966, 2.33765;
Café de Paris;24 Boulevard des Italiens;9;1;48.871539, 2.336282;
Café de la Régence;167 Rue Saint-Honoré;1;1;48.863634, 2.334345;
Café du Géant;47 Boulevard du Temple;11;1;48.866186, 2.364571;
Café du Gymnase;32 Boulevard Bonne Nouvelle;10;2;48.870511, 2.349462;
Café du Helder;29 Boulevard des Italiens;9;6;48.870928, 2.335123;
Café du Mail;Rue du Mail;2;3;48.867196, 2.343535;
Café Durand;2 Place de la Madeleine;8;3;48.869058, 2.324181;
Café Eldorado;4 Boulevard de Strasbourg;10;1;48.869818, 2.355028;
Café Leblond;Passage de l’Opéra (12 Rue Le Peletier et Rue Drouot);9;1;48.872755, 2.338658;
Café Mazarin;16 Boulevard Montmartre;9;2;48.87198, 2.341263;
Café Riche;16 Boulevard des Italiens;9;13;48.871752, 2.337676;
Café Tabourey;20 Rue de Vaugirard;6;1;48.849373, 2.338216;
Café Tortoni;22 Boulevard des Italiens;9;3;48.872014, 2.336861;
Café Turc;9 et 31 Boulevard du Temple;11;1;48.86551, 2.365005;
Café Véron;11 Boulevard Montmartre;2;1;48.871511, 2.341904;
Divan Le Peletier;5 Rue Lepeletier;9;3;48.872285, 2.338338;
