Place;Address;Arrondissement;Coordinates;
Cafè du Helder;29 Boulevard des Italiens;9;48.870928, 2.335123;
Cafè Riche;16 Boulevard des Italiens;9;48.871752, 2.337676;
Brasserie des Martyrs;17 Rue des Martyrs;9; 48.877927, 2.339354;
Bal de l'Ermitage;6 Boulevard de Clichy;18; 48.882449, 2.339059;
Cimetière Montmartre;20 Avenue Rachel;18;48.885886, 2.331885;
Dinochau;Angle Rue Breda (Rue Monnier) et Rue Navarin;9;48.880019, 2.33734;
Élysée-Montmartre;72 Boulevard de Rochechouart;18;48.883014, 2.343663;
Jardin des plantes;57 Rue Cuvier;5;48.844343, 2.35621;
Opéra (bal);12 Rue Le Peletier;9;48.872755, 2.338658;
Divan Le Peletier;5 Rue Lepeletier;9;48.872285, 2.338338;
